datetime,G(i)
1,0
2,55
3,41
4,203
5,421
6,135
7,250
8,402
9,203
10,246
11,219
12,134
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,79
27,273
28,556.01
29,737.01
30,871.01
31,832.01
32,864.01
33,763.01
34,594.01
35,337
36,115
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,112
51,349.01
52,549.01
53,579
54,637
55,838.01
56,646
57,702.01
58,603.01
59,381.01
60,152
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,119
75,310
76,554.01
77,737.01
78,858.01
79,853.01
80,876.01
81,750.01
82,569.01
83,341
84,132
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,76
99,217
100,353
101,595
102,802.01
103,815.01
104,782.01
105,756.01
106,548.01
107,381.01
108,157
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,112
123,335
124,543.01
125,664.01
126,807.01
127,860.01
128,817.01
129,648
130,580.01
131,379.01
132,132
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,73
147,246
148,442
149,688.01
150,841.01
151,827.01
152,819.01
153,671.01
154,536.01
155,317
156,169
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,85
171,307
172,217
173,737.01
174,841.01
175,808.01
176,868.01
177,368
178,481
179,177
180,141
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,92
195,89
196,183
197,477
198,776.01
199,665
200,851.01
201,751.01
202,553.01
203,206
204,120
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,112
219,300
220,502
221,733.01
222,852.01
223,686
224,872.01
225,651
226,589.01
227,373
228,159
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,73
243,319
244,312
245,640
246,839.01
247,891.01
248,835.01
249,756.01
250,497
251,408.01
252,166
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,109
267,282
268,569.01
269,721.01
270,877.01
271,923.01
272,895.01
273,685.01
274,475
275,287
276,123
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,67
291,318
292,477
293,746.01
294,836.01
295,909.01
296,902.01
297,782.01
298,627.01
299,402.01
300,170
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,99
315,329
316,562.01
317,734.01
318,879.01
319,921.01
320,909.01
321,810.01
322,629.01
323,411.01
324,172
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,82
339,317
340,562.01
341,739.01
342,871.01
343,907.01
344,872.01
345,795.01
346,621.01
347,414.01
348,174
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,101
363,297
364,556.01
365,699.01
366,853.01
367,894.01
368,879.01
369,784.01
370,631.01
371,409.01
372,177
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,101
387,203
388,556.01
389,736.01
390,864.01
391,911.01
392,856.01
393,773.01
394,619.01
395,412.01
396,170
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,88
411,296
412,489
413,419
414,327
415,801.01
416,367
417,256
418,200
419,233
420,84
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,67
435,305
436,569.01
437,754.01
438,890.01
439,934.01
440,905.01
441,818.01
442,642.01
443,423.01
444,183
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,87
459,254
460,349
461,362
462,825.01
463,784
464,892.01
465,754.01
466,613.01
467,280
468,185
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,54
483,239
484,502
485,465
486,812.01
487,319
488,493
489,549
490,419
491,165
492,90
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,33
507,129
508,272
509,642
510,837.01
511,869.01
512,807.01
513,794.01
514,646.01
515,430.01
516,190
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,85
531,284
532,463
533,614
534,848.01
535,942.01
536,889.01
537,810.01
538,609.01
539,369
540,178
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,98
555,310
556,402
557,726.01
558,888.01
559,939.01
560,931.01
561,830.01
562,587
563,435.01
564,199
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,101
579,347
