datetime,G(i)
1,0
1.041666667,55
1.083333333,41
1.125,203
1.166666667,421
1.208333333,135
1.25,250
1.291666667,402
1.333333333,203
1.375,246
1.416666667,219
1.458333333,134
1.5,0
1.541666667,0
1.583333333,0
1.625,0
1.666666667,0
1.708333333,0
1.75,0
1.791666667,0
1.833333333,0
1.875,0
1.916666667,0
1.958333333,0
2,0
2.041666667,79
2.083333333,273
2.125,556.01
2.166666667,737.01
2.208333333,871.01
2.25,832.01
2.291666667,864.01
2.333333333,763.01
2.375,594.01
2.416666667,337
2.458333333,115
2.5,0
2.541666667,0
2.583333333,0
2.625,0
2.666666667,0
2.708333333,0
2.75,0
2.791666667,0
2.833333333,0
2.875,0
2.916666667,0
2.958333333,0
3,0
3.041666667,112
3.083333334,349.01
3.125,549.01
3.166666667,579
3.208333334,637
3.25,838.01
3.291666667,646
3.333333334,702.01
3.375,603.01
3.416666667,381.01
3.458333334,152
3.5,0
3.541666667,0
3.583333334,0
3.625,0
3.666666667,0
3.708333334,0
3.75,0
3.791666667,0
3.833333334,0
3.875,0
3.916666667,0
3.958333334,0
4,0
4.041666667,119
4.083333334,310
4.125,554.01
4.166666667,737.01
4.208333334,858.01
4.25,853.01
4.291666667,876.01
4.333333334,750.01
4.375,569.01
4.416666667,341
4.458333334,132
4.5,0
4.541666667,0
4.583333334,0
4.625,0
4.666666667,0
4.708333334,0
4.75,0
4.791666667,0
4.833333334,0
4.875,0
4.916666667,0
4.958333334,0
5,0
5.041666667,76
5.083333334,217
5.125,353
5.166666667,595
5.208333334,802.01
5.25,815.01
5.291666667,782.01
5.333333334,756.01
5.375,548.01
5.416666667,381.01
5.458333334,157
5.5,0
5.541666667,0
5.583333334,0
5.625,0
5.666666667,0
5.708333334,0
5.75,0
5.791666667,0
5.833333334,0
5.875,0
5.916666667,0
5.958333334,0
6,0
6.041666667,112
6.083333334,335
6.125,543.01
6.166666667,664.01
6.208333334,807.01
6.25,860.01
6.291666667,817.01
6.333333334,648
6.375,580.01
6.416666667,379.01
6.458333334,132
6.5,0
6.541666667,0
6.583333334,0
6.625,0
6.666666667,0
6.708333334,0
6.75,0
6.791666667,0
6.833333334,0
6.875,0
6.916666667,0
6.958333334,0
7,0
7.041666667,73
7.083333334,246
7.125,442
7.166666667,688.01
7.208333334,841.01
7.250000001,827.01
7.291666667,819.01
7.333333334,671.01
7.375000001,536.01
7.416666667,317
7.458333334,169
7.500000001,0
7.541666667,0
7.583333334,0
7.625000001,0
7.666666667,0
7.708333334,0
7.750000001,0
7.791666667,0
7.833333334,0
7.875000001,0
7.916666667,0
7.958333334,0
8.000000001,0
8.041666667,85
8.083333334,307
8.125000001,217
8.166666667,737.01
8.208333334,841.01
8.250000001,808.01
8.291666667,868.01
8.333333334,368
8.375000001,481
8.416666667,177
8.458333334,141
8.500000001,0
8.541666667,0
8.583333334,0
8.625000001,0
8.666666667,0
8.708333334,0
8.750000001,0
8.791666667,0
8.833333334,0
8.875000001,0
8.916666667,0
8.958333334,0
9.000000001,0
9.041666667,92
9.083333334,89
9.125000001,183
9.166666667,477
9.208333334,776.01
9.250000001,665
9.291666667,851.01
9.333333334,751.01
9.375000001,553.01
9.416666667,206
9.458333334,120
9.500000001,0
9.541666667,0
9.583333334,0
9.625000001,0
9.666666667,0
9.708333334,0
9.750000001,0
9.791666667,0
9.833333334,0
9.875000001,0
9.916666667,0
9.958333334,0
10,0
10.04166667,112
10.08333333,300
10.125,502
10.16666667,733.01
10.20833333,852.01
10.25,686
10.29166667,872.01
10.33333333,651
10.375,589.01
10.41666667,373
10.45833333,159
10.5,0
10.54166667,0
10.58333333,0
10.625,0
10.66666667,0
10.70833333,0
10.75,0
10.79166667,0
10.83333333,0
10.875,0
10.91666667,0
10.95833333,0
11,0
11.04166667,73
11.08333333,319
11.125,312
11.16666667,640
11.20833333,839.01
11.25,891.01
11.29166667,835.01
11.33333333,756.01
11.375,497
11.41666667,408.01
11.45833333,166
11.5,0
11.54166667,0
11.58333333,0
11.625,0
11.66666667,0
11.70833333,0
11.75,0
11.79166667,0
11.83333333,0
11.875,0
11.91666667,0
11.95833333,0
12,0
12.04166667,109
12.08333333,282
12.125,569.01
12.16666667,721.01
12.20833333,877.01
12.25,923.01
12.29166667,895.01
12.33333333,685.01
12.375,475
12.41666667,287
12.45833333,123
12.5,0
12.54166667,0
12.58333333,0
12.625,0
12.66666667,0
12.70833333,0
12.75,0
12.79166667,0
12.83333333,0
12.875,0
12.91666667,0
12.95833333,0
13,0
13.04166667,67
13.08333333,318
13.125,477
13.16666667,746.01
13.20833333,836.01
13.25,909.01
13.29166667,902.01
13.33333333,782.01
13.375,627.01
13.41666667,402.01
13.45833333,170
13.5,0
13.54166667,0
13.58333333,0
13.625,0
13.66666667,0
13.70833333,0
13.75,0
13.79166667,0
13.83333333,0
13.875,0
13.91666667,0
13.95833333,0
14,0
14.04166667,99
14.08333333,329
14.125,562.01
14.16666667,734.01
14.20833333,879.01
14.25,921.01
14.29166667,909.01
14.33333333,810.01
14.375,629.01
14.41666667,411.01
14.45833333,172
14.5,0
14.54166667,0
14.58333333,0
14.625,0
14.66666667,0
14.70833333,0
14.75,0
14.79166667,0
14.83333333,0
14.875,0
14.91666667,0
14.95833333,0
15,0
15.04166667,82
15.08333333,317
15.125,562.01
15.16666667,739.01
15.20833333,871.01
15.25,907.01
15.29166667,872.01
15.33333333,795.01
15.375,621.01
15.41666667,414.01
15.45833333,174
15.5,0
15.54166667,0
15.58333333,0
15.625,0
15.66666667,0
15.70833333,0
15.75,0
15.79166667,0
15.83333333,0
15.875,0
15.91666667,0
15.95833333,0
16,0
16.04166667,101
16.08333333,297
16.125,556.01
16.16666667,699.01
16.20833333,853.01
16.25,894.01
16.29166667,879.01
16.33333333,784.01
16.375,631.01
16.41666667,409.01
16.45833333,177
16.5,0
16.54166667,0
16.58333333,0
16.625,0
16.66666667,0
16.70833333,0
16.75,0
16.79166667,0
16.83333333,0
16.875,0
16.91666667,0
16.95833333,0
17,0
17.04166667,101
17.08333333,203
17.125,556.01
17.16666667,736.01
17.20833333,864.01
17.25,911.01
17.29166667,856.01
17.33333333,773.01
17.375,619.01
17.41666667,412.01
17.45833333,170
17.5,0
17.54166667,0
17.58333333,0
17.625,0
17.66666667,0
17.70833333,0
17.75,0
17.79166667,0
17.83333333,0
17.875,0
17.91666667,0
17.95833333,0
18,0
18.04166667,88
18.08333333,296
18.125,489
18.16666667,419
18.20833333,327
18.25,801.01
18.29166667,367
18.33333333,256
18.375,200
18.41666667,233
18.45833333,84
18.5,0
18.54166667,0
18.58333333,0
18.625,0
18.66666667,0
18.70833333,0
18.75,0
18.79166667,0
18.83333333,0
18.875,0
18.91666667,0
18.95833333,0
19,0
19.04166667,67
19.08333333,305
19.125,569.01
19.16666667,754.01
19.20833333,890.01
19.25,934.01
19.29166667,905.01
19.33333333,818.01
19.375,642.01
19.41666667,423.01
19.45833333,183
19.5,0
19.54166667,0
19.58333333,0
19.625,0
19.66666667,0
19.70833333,0
19.75,0
19.79166667,0
19.83333333,0
19.875,0
19.91666667,0
19.95833333,0
20,0
20.04166667,87
20.08333333,254
20.125,349
20.16666667,362
20.20833333,825.01
20.25,784
20.29166667,892.01
20.33333333,754.01
20.375,613.01
20.41666667,280
20.45833333,185
20.5,0
20.54166667,0
20.58333333,0
20.625,0
20.66666667,0
20.70833333,0
20.75,0
20.79166667,0
20.83333333,0
20.875,0
20.91666667,0
20.95833333,0
21,0
21.04166667,54
21.08333333,239
21.125,502
21.16666667,465
21.20833333,812.01
21.25,319
21.29166667,493
21.33333333,549
21.375,419
21.41666667,165
21.45833333,90
21.5,0
21.54166667,0
21.58333333,0
21.625,0
21.66666667,0
21.70833333,0
21.75,0
21.79166667,0
21.83333334,0
21.875,0
21.91666667,0
21.95833334,0
22,0
22.04166667,33
22.08333334,129
22.125,272
22.16666667,642
22.20833334,837.01
22.25,869.01
22.29166667,807.01
22.33333334,794.01
22.375,646.01
22.41666667,430.01
22.45833334,190
22.5,0
22.54166667,0
22.58333334,0
22.625,0
22.66666667,0
22.70833334,0
22.75,0
22.79166667,0
22.83333334,0
22.875,0
22.91666667,0
22.95833334,0
23,0
23.04166667,85
23.08333334,284
23.125,463
23.16666667,614
23.20833334,848.01
23.25,942.01
23.29166667,889.01
23.33333334,810.01
23.375,609.01
23.41666667,369
23.45833334,178
23.5,0
23.54166667,0
23.58333334,0
23.625,0
23.66666667,0
23.70833334,0
23.75,0
23.79166667,0
23.83333334,0
23.875,0
23.91666667,0
23.95833334,0
24,0
24.04166667,98
24.08333334,310
24.125,402
24.16666667,726.01
24.20833334,888.01
24.25,939.01
24.29166667,931.01
24.33333334,830.01
24.375,587
24.41666667,435.01
24.45833334,199
24.5,0
24.54166667,0
24.58333334,0
24.625,0
24.66666667,0
24.70833334,0
24.75,0
24.79166667,0
24.83333334,0
24.875,0
24.91666667,0
24.95833334,0
25,0
25.04166667,101
25.08333334,347
25.125,581.01
25.16666667,768.01
25.20833334,899.01
25.25,951.01
25.29166667,938.01
25.33333334,819.01
25.375,657.01
25.41666667,437.01
25.45833334,200
25.5,0
25.54166667,0
25.58333334,0
25.625,0
25.66666667,0
25.70833334,0
25.75,0
25.79166667,0
25.83333334,0
25.875,0
25.91666667,0
25.95833334,0
26,0
26.04166667,97
26.08333334,336
26.125,560.01
26.16666667,752.01
26.20833334,891.01
26.25,943.01
26.29166667,926.01
26.33333334,840.01
26.375,663.01
26.41666667,447.01
26.45833334,203
26.5,0
26.54166667,0
26.58333334,0
26.625,0
26.66666667,0
26.70833334,0
26.75,0
26.79166667,0
26.83333334,0
26.875,0
26.91666667,0
26.95833334,0
27,0
27.04166667,101
27.08333334,327
27.125,573.01
27.16666667,762.01
27.20833334,878.01
27.25,919.01
27.29166667,908.01
27.33333334,802.01
27.375,658.01
27.41666667,415
27.45833334,177
27.5,0
27.54166667,0
27.58333334,0
27.625,0
27.66666667,0
27.70833334,0
