datetime,G(i)
1,0
1.041666667,55
1.083333333,41
1.125,203
1.166666667,421
1.208333333,135
1.25,250
1.291666667,402
1.333333333,203
1.375,246
1.416666667,219
1.458333333,134
1.5,0
1.541666667,0
1.583333333,0
1.625,0
1.666666667,0
1.708333333,0
1.75,0
1.791666667,0
1.833333333,0
1.875,0
1.916666667,0
1.958333333,0
2,0
2.041666667,79
2.083333333,273
2.125,556.01
2.166666667,737.01
2.208333333,871.01
2.25,832.01
2.291666667,864.01
2.333333333,763.01
2.375,594.01
2.416666667,337
2.458333333,115
2.5,0
2.541666667,0
2.583333333,0
2.625,0
2.666666667,0
2.708333333,0
2.75,0
2.791666667,0
2.833333333,0
2.875,0
2.916666667,0
2.958333333,0
3,0
3.041666667,112
3.083333334,349.01
3.125,549.01
3.166666667,579
3.208333334,637
3.25,838.01
3.291666667,646
3.333333334,702.01
3.375,603.01
3.416666667,381.01
3.458333334,152
3.5,0
3.541666667,0
3.583333334,0
3.625,0
3.666666667,0
3.708333334,0
3.75,0
3.791666667,0
3.833333334,0
3.875,0
3.916666667,0
3.958333334,0
4,0
4.041666667,119
4.083333334,310
4.125,554.01
4.166666667,737.01
4.208333334,858.01
4.25,853.01
4.291666667,876.01
4.333333334,750.01
4.375,569.01
4.416666667,341
4.458333334,132
4.5,0
4.541666667,0
4.583333334,0
4.625,0
4.666666667,0
4.708333334,0
4.75,0
4.791666667,0
4.833333334,0
4.875,0
4.916666667,0
4.958333334,0
5,0
5.041666667,76
5.083333334,217
5.125,353
5.166666667,595
5.208333334,802.01
5.25,815.01
5.291666667,782.01
5.333333334,756.01
5.375,548.01
5.416666667,381.01
5.458333334,157
5.5,0
5.541666667,0
5.583333334,0
5.625,0
5.666666667,0
5.708333334,0
5.75,0
5.791666667,0
5.833333334,0
5.875,0
5.916666667,0
5.958333334,0
6,0
